OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
84,98134,98134,033,Standard,King County,SEATTLE,60097.9187568417,125545925.279776
85,98136,98136,033,Standard,King County,SEATTLE,72991.8884018778,239378093.42158
86,98144,98144,033,Standard,King County,SEATTLE,58216.3459253905,138927276.306588
87,98146,98146,033,Standard,King County,SEATTLE,83027.4875923077,257683217.830004
88,98148,98148,033,Standard,King County,SEATTLE,69872.566374949,78885924.5517293
89,98154,98154,033,Standard,King County,SEATTLE,1105.87403025575,76423.2300881511
90,98155,98155,033,Standard,King County,SEATTLE,72408.042948081,231157021.77813
91,98158,98158,033,Standard,King County,SEATTLE,35514.4344700578,59126615.4154482
92,98164,98164,033,Standard,King County,SEATTLE,1115.5232034814,77740.1683586222
93,98166,98166,033,Standard,King County,SEATTLE,102892.786786757,418159249.285542
94,98168,98168,033,Standard,King County,SEATTLE,106381.846889726,259912999.540844
95,98177,98177,033,Standard,King County,SEATTLE,115730.974852231,513969795.011798
96,98177,98177,061,Standard,Snohomish County,SEATTLE,6762.76340508253,2228198.52754044
97,98178,98178,033,Standard,King County,SEATTLE,69927.9417068095,152209898.590179
98,98188,98188,033,Standard,King County,SEATTLE,97632.6624976999,222263074.5872
99,98195,98195,033,Standard,King County,SEATTLE,23677.2376398984,26803233.0653719
100,98198,98198,033,Standard,King County,SEATTLE,116610.980619371,335726670.311178
101,98199,98199,033,Standard,King County,SEATTLE,90532.1634187174,416980980.841357
102,98201,98201,061,Standard,Snohomish County,EVERETT,119720.321916576,665358505.058763
103,98203,98203,061,Standard,Snohomish County,EVERETT,113761.523809972,432068458.211773
104,98204,98204,061,Standard,Snohomish County,EVERETT,83247.2016593664,250191196.918369
105,98205,98205,061,Standard,Snohomish County,EVERETT,203136.827561776,633036886.28676
106,98206,98260,061,Standard,Snohomish County,LANGLEY,43820.7096696564,125679214.464861
107,98208,98208,061,Standard,Snohomish County,EVERETT,140817.66610917,361491036.029275
108,98223,98223,061,Standard,Snohomish County,ARLINGTON,573249.36932447,9188799827.53695
109,98224,98224,033,PO Box,King County,BARING,187335.768145867,1720764743.93921
110,98241,98241,061,Standard,Snohomish County,DARRINGTON,489725.415392639,10702285410.0475
111,98251,98251,061,Standard,Snohomish County,GOLD BAR,170540.052924609,1365169876.36589
112,98252,98252,061,Standard,Snohomish County,GRANITE FALLS,655587.480414569,11458033795.596
113,98258,98258,061,Standard,Snohomish County,LAKE STEVENS,188174.037646858,746870626.739434
114,98270,98270,061,Standard,Snohomish County,MARYSVILLE,129683.810503231,401548254.191824
115,98271,98271,061,Standard,Snohomish County,MARYSVILLE,273750.177169369,1882332337.69997
116,98272,98272,061,Standard,Snohomish County,MONROE,284146.297217331,2511785006.20078
117,98275,98275,061,Standard,Snohomish County,MUKILTEO,102050.18162093,359176271.738943
118,98282,98282,061,Standard,Snohomish County,CAMANO ISLAND,24190.2118594437,24208128.0628747
119,98288,98288,033,PO Box,King County,SKYKOMISH,484898.031643423,8749431155.55998
120,98290,98290,061,Standard,Snohomish County,SNOHOMISH,347710.853609905,2852193029.44153
121,98292,98292,061,Standard,Snohomish County,STANWOOD,283058.029532643,2638509527.02263
122,98294,98294,061,Standard,Snohomish County,SULTAN,621328.971440706,10936936609.589
123,98296,98296,061,Standard,Snohomish County,SNOHOMISH,263970.855672082,1048106698.3611
124,98303,98303,053,Standard,Pierce County,ANDERSON ISLAND,86109.7724272896,505103341.592681
125,98304,98304,053,Standard,Pierce County,ASHFORD,148164.538100714,322185529.255085
126,98310,98310,035,Standard,Kitsap County,BREMERTON,62880.6162446212,215379703.064436
127,98311,98311,035,Standard,Kitsap County,BREMERTON,80878.326451665,381528373.46126
128,98312,98312,035,Standard,Kitsap County,BREMERTON,231764.622321314,1967531257.64557
129,98314,98314,035,Unique,Kitsap County,BREMERTON,33968.7111018907,52357036.5975302
130,98315,98315,035,Standard,Kitsap County,SILVERDALE,99140.1822803137,397694028.962414
131,98321,98321,053,Standard,Pierce County,BUCKLEY,203533.627868084,1143293737.21058
132,98323,98323,053,Standard,Pierce County,CARBONADO,161148.783648178,826550521.678505
133,98327,98327,053,Standard,Pierce County,DUPONT,88916.9034265117,284825350.485378
134,98328,98328,053,Standard,Pierce County,EATONVILLE,304188.897703458,2717657378.75255
135,98329,98329,053,Standard,Pierce County,GIG HARBOR,125259.162402193,837983706.805377
136,98330,98330,053,Standard,Pierce County,ELBE,45773.0855714593,53285055.2628591
137,98332,98332,053,Standard,Pierce County,GIG HARBOR,124096.475719178,785013320.961252
138,98333,98333,053,Standard,Pierce County,FOX ISLAND,93982.9139454605,474765159.837677
139,98335,98335,053,Standard,Pierce County,GIG HARBOR,148852.834534761,997643463.453881
140,98337,98337,035,Standard,Kitsap County,BREMERTON,31237.0512155375,40203852.9331808
141,98338,98338,053,Standard,Pierce County,GRAHAM,224377.437630031,1600401562.80929
142,98340,98340,035,Standard,Kitsap County,HANSVILLE,117381.343260366,760918895.106822
143,98342,98342,035,Standard,Kitsap County,INDIANOLA,60416.4339610242,195618375.846147
144,98345,98345,035,PO Box,Kitsap County,KEYPORT,22192.8814894426,26810071.5221679
145,98346,98346,035,Standard,Kitsap County,KINGSTON,217908.306170454,1592814513.84416
146,98349,98349,053,Standard,Pierce County,LAKEBAY,158957.210176018,1073807097.14326
147,98351,98351,053,Standard,Pierce County,LONGBRANCH,99887.0886641766,494363986.4957
148,98354,98354,033,Standard,King County,MILTON,25310.3795742807,15004869.6511532
149,98354,98354,053,Standard,Pierce County,MILTON,37890.6707571141,61965400.8811203
150,98359,98359,035,Standard,Kitsap County,OLALLA,91932.2049634166,450601061.465561
151,98360,98360,053,Standard,Pierce County,ORTING,253905.892081347,1460825810.74423
152,98366,98366,035,Standard,Kitsap County,PORT ORCHARD,157427.757168218,1104988859.07037
153,98367,98367,035,Standard,Kitsap County,PORT ORCHARD,226767.590579314,2236344631.85054
154,98370,98370,035,Standard,Kitsap County,POULSBO,308704.121982426,2089480521.17505
155,98371,98371,053,Standard,Pierce County,PUYALLUP,117750.923142424,367454940.670234
156,98372,98372,053,Standard,Pierce County,PUYALLUP,121178.269378956,369816391.926037
157,98373,98373,053,Standard,Pierce County,PUYALLUP,64284.7284115207,257979684.614837
158,98374,98374,053,Standard,Pierce County,PUYALLUP,108095.145660153,467542203.688638
159,98375,98375,053,Standard,Pierce County,PUYALLUP,65271.0364044036,258436981.076223
160,98380,98380,035,Standard,Kitsap County,SEABECK,220698.676009802,1756054324.31305
161,98383,98383,035,Standard,Kitsap County,SILVERDALE,139590.410685734,581580549.919482
162,98385,98385,053,Standard,Pierce County,SOUTH PRAIRIE,13894.8279792335,11206789.0517275
163,98387,98387,053,Standard,Pierce County,SPANAWAY,222586.298015202,600727096.47732
164,98388,98388,053,Standard,Pierce County,STEILACOOM,147849.45962154,749838965.123149
165,98390,98390,053,Standard,Pierce County,SUMNER,103299.031749989,259564117.172909
166,98391,98391,053,Standard,Pierce County,BONNEY LAKE,202313.092554834,1066853526.07908
167,98392,98392,035,Standard,Kitsap County,SUQUAMISH,49415.2284319848,67452438.5213108
168,98394,98394,053,Standard,Pierce County,VAUGHN,64946.2002539746,218128727.645247
169,98396,98396,053,Standard,Pierce County,WILKESON,735525.48309726,12041118450.9687
170,98397,98397,053,Standard,Pierce County,LONGMIRE,428882.206996894,8546367830.66873
171,98402,98402,053,Standard,Pierce County,TACOMA,29981.6904420603,26864885.142692
172,98403,98403,053,Standard,Pierce County,TACOMA,42022.9120111431,94973265.8780758
173,98404,98404,053,Standard,Pierce County,TACOMA,61572.1532475272,216064462.51601
174,98405,98405,053,Standard,Pierce County,TACOMA,50261.100128424,119311831.310461
175,98406,98406,053,Standard,Pierce County,TACOMA,68358.0234382797,127371066.482944
176,98407,98407,053,Standard,Pierce County,TACOMA,89427.6066021157,407065888.313994
177,98408,98408,053,Standard,Pierce County,TACOMA,40949.9216956624,95930078.0846862
178,98409,98409,053,Standard,Pierce County,TACOMA,74004.1799257125,203658771.395322
179,98416,98416,053,Unique,Pierce County,TACOMA,9681.51226136936,4084771.59833299
180,98418,98418,053,Standard,Pierce County,TACOMA,27782.0268112828,46885764.1226016
181,98421,98421,053,Standard,Pierce County,TACOMA,69248.4927292975,242968142.765387
182,98422,98422,033,Standard,King County,TACOMA,10581.8840924349,1621490.264891
183,98422,98422,053,Standard,Pierce County,TACOMA,88998.43684594,287028315.993188
184,98424,98424,053,Standard,Pierce County,TACOMA,63729.9694988604,148898037.536371
185,98430,98430,053,Standard,Pierce County,CAMP MURRAY,16682.2916373454,13323856.205509
186,98433,98433,053,Standard,Pierce County,TACOMA,365217.189423867,2980563832.54216
187,98438,98438,053,Standard,Pierce County,TACOMA,74075.4039876706,179111621.16739
188,98439,98439,053,Standard,Pierce County,LAKEWOOD,31208.6746879129,32367051.3095343
189,98443,98443,053,Standard,Pierce County,TACOMA,51842.2282453735,138725726.1697
190,98444,98444,053,Standard,Pierce County,TACOMA,84939.7842849281,193899333.485341
191,98445,98445,053,Standard,Pierce County,TACOMA,95666.1493196208,302059701.039174
192,98446,98446,053,Standard,Pierce County,TACOMA,92261.2847446496,303052697.022457
193,98447,98447,053,Unique,Pierce County,TACOMA,9413.06547618662,3176084.47231763
194,98465,98465,053,Standard,Pierce County,TACOMA,41951.2070752305,66626905.1136928
195,98466,98466,053,Standard,Pierce County,TACOMA,62248.0816288985,197545697.254532
196,98467,98467,053,Standard,Pierce County,UNIVERSITY PLACE,65464.8257501062,154582683.955679
197,98498,98498,053,Standard,Pierce County,LAKEWOOD,94191.6298205216,271504227.425359
198,98499,98499,053,Standard,Pierce County,LAKEWOOD,82258.8314442442,258668276.067722
199,98580,98580,053,Standard,Pierce County,ROY,234421.90642829,1813778218.6739
200,98826,98826,007,Standard,Chelan County,LEAVENWORTH,845445.555601503,26179809163.7272
201,98922,98922,037,Standard,Kittitas County,CLE ELUM,871202.840237978,17220076339.0392
202,98925,98925,037,Standard,Kittitas County,EASTON,513881.75561834,5997914904.4595
203,98926,98926,037,Standard,Kittitas County,ELLENSBURG,947568.861297733,32490465847.5645
204,98934,98934,037,PO Box,Kittitas County,KITTITAS,21908.6905747336,12289665.0654034
205,98940,98940,037,PO Box,Kittitas County,RONALD,465055.06553898,5451150404.5628
206,98941,98941,037,PO Box,Kittitas County,ROSLYN,128017.069816111,357024286.209639
207,98943,98943,037,PO Box,Kittitas County,SOUTH CLE ELUM,14265.7191524655,10064275.3951149
208,98946,98946,037,Standard,Kittitas County,THORP,148179.572806545,836663894.394367
209,98950,98950,037,PO Box,Kittitas County,VANTAGE,209701.375729641,915724778.436799
